Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
AFUA_1G06580		0.716656118567579	0.4
AFUA_1G06590		NA	-1
AFUA_1G06600		0.138519800839886	1
AFUA_1G06610		0.232361293587309	0.7
AFUA_1G06620		0.339066245495341	0.6
AFUA_1G06630		0.673314819351301	0.3
AFUA_1G06640		0.593440789287595	-0.6
AFUA_1G06650		NA	-0.2
AFUA_1G06660		0.196599868065369	-1.1
AFUA_1G06670		0.723688431891012	0.3
AFUA_1G06680		0.956043179841406	0
AFUA_1G06690		0.301911098049141	0.8
AFUA_1G06700		0.450263364200195	0.6
AFUA_1G06710		0.180502472229733	0.9
AFUA_1G06720		0.638001552575205	0.4
AFUA_1G06730		0.025685914344072	-2.4
AFUA_1G06740		0.143833577383667	-1.3
AFUA_1G06762		0.458760229007089	-0.5
AFUA_1G06770		0.289381205497054	0.9
AFUA_1G06780		NA	0.2
AFUA_1G06790		0.098420289670714	1.1
AFUA_1G06800		NA	-0.1
AFUA_1G06810		0.114437460323158	1.4
AFUA_1G06820		0.623437651941088	-0.5
AFUA_1G06830		0.110046502356894	1.2
AFUA_1G06840		0.15320358069582	1
AFUA_1G06850		0.709778137723083	-0.3
AFUA_1G06860		0.430361141492375	0.6
AFUA_1G06870		NA	1
AFUA_1G06880		NA	1
AFUA_1G06890		NA	0.1
AFUA_1G06900		0.755399448281586	0.3
AFUA_1G06910		NA	-0.7
AFUA_1G06920		0.88788343187613	-0.1
AFUA_1G06930		NA	-0.1
AFUA_1G06940		0.272827540889032	1
AFUA_1G06950		0.0509732491044622	1.4
AFUA_1G06960		0.0900426972521718	1.2
AFUA_1G06970		0.224793259674436	1.1
AFUA_1G06980		0.0290958840445439	1.6
AFUA_1G07000		0.957817302584522	-0.1
AFUA_1G07010		0.663666266781218	-0.4
AFUA_1G07020		0.8349770819422	0.2
AFUA_1G07030		NA	-0.5
AFUA_1G07040		0.626643954430202	-0.5
AFUA_1G07050		0.580807988986443	-0.4
AFUA_1G07070		0.281175197046179	0.9
AFUA_1G07080		0.593440789287595	0.4
AFUA_1G07090		0.607725788507879	0.4
AFUA_1G07100		0.360856074164786	0.7
AFUA_1G07110		NA	-0.2
AFUA_1G07130		NA	-0.3
AFUA_1G07140		NA	0.9
AFUA_1G07150		0.890346561907516	0.1
AFUA_1G07160		0.897336425445878	0.1
AFUA_1G07170		NA	-0.5
AFUA_1G07180		0.864733834239665	0.1
AFUA_1G07190		NA	-0.1
